feature,weight
account,1.9743538382898111
mobile,1.7032883174011175
http,1.6973245133734136
kindly,1.68707078520509
love,1.6650886105295999
life,1.6446760725146394
wetransfer,1.5906102166180525
click,1.5596162803324516
secure,1.478849492009231
utf,1.3616244222215008
n_exclaim,1.3595468164208957
meds,1.3465615270761848
sex,1.3396380118071316
watches,1.3203466771929637
remove,1.3196419695639698
watch,1.297871332043397
notification,1.1651097392236234
income,1.162826041537118
sir,1.140114678754626
pills,1.1304462119555623
man,1.114992649148107
inches,1.1026880524847593
quality,1.0983952415852434
vicodin,1.0855819316583568
remedy,1.0727061035584609
men,1.067710303063601
payment,1.0628426917637317
remove subject,1.059673327609207
huge,1.0537444417750508
software,1.0488171383961806
smoking,1.043098043930048
earn,1.042912543376378
investment,1.0410463249644204
000,1.0278574397707605
list posting,1.0238739974590958
formula,1.013725423838615
company,0.9948233806154366
male,0.9871107469654058
girl,0.980466647096847
bank,0.9753289258121058
projecthoneypot,0.9748441970802832
rx,0.9625827482423266
medication,0.959166756227194
viagra,0.9589661578760458
blonde,0.9573763838190603
loan,0.9565077269882093
site,0.9553452251244354
pending,0.9548689997324661
girls,0.9491196360912327
custom alert,0.9472725799109192
dear customer,0.9442902821087432
expire,0.9424090180402425
low,0.940660720876819
jul year,0.9370010482427511
webmail,0.9368653189034567
bait,0.9355323959680785
does matter,0.9311869964708707
product,0.9286946325814743
goodbye,0.928594693172984
lower rate,0.9209330326453817
shipment,0.9150582759933122
act,0.9141012220416651
intimate,0.9130097023468202
reply,0.9020252144259668
dear,0.9015319411697758
document,0.8986058173868304
dear email,0.8940965472262972
protected,0.8910521277580528
capitalfm,0.8880631171523623
cialis,0.8868377848073198
selling,0.8776024856752047
proven,0.8773723774008471
capitalfm com,0.8772030878836569
transfer,0.8747841809925988
mortgage,0.8738492945589296
year year,0.8738022291157875
age,0.8727966865913251
ecard,0.8707343173270157
sales,0.8693967916914701
bed,0.8661943565507005
mo,0.862953908168251
did know,0.8594514130307592
health,0.8590364943955431
url,0.8583298440445168
otc,0.85588492849912
blvd,0.8523554641863849
diploma,0.8520903702872408
administrator,0.8451096410139447
greetings,0.8445479208017853
cy,0.8436505228276763
hello,0.8398340065563341
confidence,0.8395992464738395
worldwide,0.8393655085870623
medical,0.8384109241100133
avg_word_len,0.8375795282624436
healthcare,0.8340588832845742
enhancement,0.8336118666208338
urgent,0.8286044627796869
outlook web,0.8250718302792536
medicine,0.8249228610636048
herbal,0.8231833348618159
lose,0.8230809076402794
assist,0.8229362161969747
dimensions,0.8192773132110419
verify,0.8185146051539144
http capitalfm,0.8126770116397385
today url,0.8104475871336676
cheap,0.8100460543533781
millions,0.8068385376955796
partner,0.8057327800810257
verification,0.8045976349747368
choose,0.8034884559863071
weight,0.8027049042877725
gift card,0.801832748702237
professional,0.8015469599477223
parcel,0.8013733280069599
help desk,0.7930855947269909
para,0.7929723878301739
documents,0.7920890010262646
mrs,0.7913473718741142
dimension,0.7912141304054495
hospitals,0.7899968414551993
good day,0.7898301972782737
receive,0.7874856309542434
year rights,0.7873189649789102
net,0.7870305280459537
hot,0.7859165291486628
usaa,0.7847756533097474
immediately,0.7803512543518091
php,0.7775374117843707
chemists,0.7772128145119
real,0.7766902760582801
sexy,0.7742685789376234
info,0.7702800025575808
thousand,0.7693791628866643
pleasure,0.7691342084168514
country,0.7666095446497594
alerts custom,0.7642535529589504
tion,0.7636189772318861
solicitation,0.7635478264572724
email,0.7631909345596288
beloved,0.7602040084358967
ic,0.7598995650734667
adv,0.7593977854964681
card,0.7591449601377148
guaranteed,0.7558227526161562
oo,0.7535867943917409
assistance,0.7525278104915587
growth,0.750994272221846
statements,0.746881970666999
highly,0.7465339589253549
fraud,0.7455092065436824
money,0.7418399611614399
norton,0.7411889620881553
new message,0.7397585273300025
advertisement solicitation,0.7388013892660816
pro,0.7370664392083897
ra,0.7340810230449091
sorry inform,0.7329916196821535
prescriptions,0.7319480596527168
marketing,0.7313865488759802
download,0.7305957951434354
soros,0.7298654959948968
secret,0.7295937150100013
rolex,0.7286287079997761
message advertisement,0.7282437943009961
delivery,0.7282161406158382
good afternoon,0.7267103616674022
gold,0.7235410756276236
deleted,0.7227383930896535
matter,0.7223442341139895
url 10,0.7221524013685103
dhl,0.719919203863129
returned,0.7198325264903999
attn,0.7190034664557369
anymore,0.7183478838717526
emperor,0.7182021313527438
medications,0.7177892932643729
prescription,0.7174312468787271
girlfriend,0.7173527721775698
office xp,0.7118959693845469
dose,0.7111945224718373
funds,0.7105333963013734
doctor,0.710424708984487
omega,0.7088409515635186
dollars,0.7040557453035736
ministry,0.7005393335463665
legal,0.6994368680773482
nigeria,0.6985599060908476
dropbox,0.6973642321352199
click enter,0.6947087728955025
gra,0.6938618683915543
contacts,0.6928873613394936
mb,0.6923860852023334
tablets,0.6914770802999055
lowest,0.6909978323084793
vi,0.6896581833765222
unusual,0.6863742008513404
linkedin,0.6859634518952923
send blank,0.6854676157624275
banking,0.6853114268407348
latest news,0.6850795055505668
movies,0.683106085506127
ment,0.6794528889279469
grow,0.678496752395415
looking statements,0.675540637662999
ge,0.6741130782971789
message,0.67359607955025
lady,0.6723946866856328
hottest,0.6722851875931871
24 hours,0.6721621557206412
masculine,0.6718294398064769
dear friend,0.6716710427501836
popular,0.6704972608581048
safe,0.6689117563758927
email account,0.6658490181245134
ine,0.6650143596480685
mensagem,0.6649431726188352
important,0.6618705963521224
motor,0.6615212324624622
bismarck,0.6614258471935378
otcbb,0.6607743291473351
encrypted,0.6601012729085942
bigger,0.6594845173035742
bolt,0.6585315686111619
belize,0.6581056889360678
degree,0.6580691865096145
forward looking,0.6567166268458999
refill,0.656585960624269
depression,0.6558708631532417
incoming,0.6555351506747139
paliourg,0.6553539222530738
deny,0.6550464524533247
photoshop,0.6548445719279755
jul,0.6540882349939421
lover,0.6529849189536967
sample,0.6526086470694727
nude,0.6524275505626318
computer,0.6514092504436088
gr,0.6512685075420039
new home,0.6501144406302519
wife,0.6498907037850218
doctors,0.6487437031376997
results,0.647021538480212
validate,0.6456188794450254
continue using,0.6453304332459999
healthy,0.6452957266639815
adult,0.645254150070453
platinum,0.6448939932452338
1986,0.6447831699580423
design,0.6446678544448984
win,0.6445642827168224
vlagra,0.6444031230867229
bad credit,0.6439977005160423
biz,0.6431207434478021
style,0.6421256065397766
dear sir,0.6414808686218266
mind,0.6407275645651572
confirm,0.6404410443494976
number number,0.6403294747630888
bear,0.6387936164353578
ss,0.6375202188635215
nights,0.6354827622759553
strength,0.6348489743503074
casino,0.6336638921240856
children,0.6335481804090756
art,0.633078992803942
monica,0.6323733421230863
secured,0.6321981875970386
quicker,0.6319323356057138
mailbox,0.6317274034855315
medium,0.6312798675212965
bedroom,0.6277606102350428
battle,0.6271073897663438
